node,eigenvector_centrality,betweenness_centrality,degree
Kerry,0.017772600868046343,0.0,1
Obama,0.23631201043222327,0.1048254878496066,21
Donald Trump,0.22821796635836578,0.0026455026455026454,15
Hillary Clinton,0.2226509946747892,0.0026815999914330153,15
Trump,0.3615149589788679,0.1559565082756176,41
Ted Cruz,0.1784692660656614,0.0002061430632859204,9
Bernie Sanders,0.09709157168657391,0.0,4
Clinton,0.47048215351573835,0.708718156027989,80
Cruz,0.22310350804434514,0.005012221338751952,15
Hillary,0.14394076388907384,0.0054137987347634845,11
John Kasich,0.09670126415079999,0.0,4
Bush,0.2536757967524109,0.060709890672784914,22
George W. Bush,0.08165230002967942,0.0,3
Reagan,0.06257379576941059,0.0,2
Bill Clinton,0.10429462352498739,0.00023960784628688155,5
Bill,0.035384716258180016,0.0,1
Donald Trump’s,0.06257379576941059,0.0,2
John McCain,0.06257379576941059,0.0,2
Barack Obama,0.11425542461916828,0.0,5
Jeb Bush,0.13294362134366317,0.0,6
Biden,0.05748028693394779,0.0,4
McConnell,0.019217947310865797,0.0,3
Ryan,0.09187290309052937,6.871435442864013e-05,6
Paul Ryan,0.06948336659689183,0.0,3
Joe Biden,0.035384716258180016,0.0,1
Elizabeth Warren,0.035384716258180016,0.0,1
Rubio,0.23067030159982838,0.01821006245867099,17
Marco Rubio,0.14636592720231625,0.0,7
Mitt Romney,0.08883593709409589,0.0,4
Romney,0.09551708734987073,0.0,6
Hillary Rodham Clinton,0.035384716258180016,0.0,1
Sanders,0.035384716258180016,0.0,1
Hillary Clinton's,0.035384716258180016,0.0,1
Donald Trump's,0.06257379576941059,0.0,2
Hillary Clinton’s,0.035384716258180016,0.0,1
Stevens,0.035384716258180016,0.0,1
Ben Carson,0.0984314930184139,0.0,4
Carson,0.08693310646729469,0.0,6
Lewandowski,0.02718907951123058,0.0,1
Jeb,0.06361585916415428,0.0,3
Chris Christie,0.09900057542233431,0.0,4
Johnson,0.06807893695825473,0.019171304885590598,5
Bernie,0.04621024098067066,0.0,2
Clintons,0.09577484300367899,4.1228612657184085e-05,7
Whitewater,0.035384716258180016,0.0,1
Monica Lewinsky,0.035384716258180016,0.0,1
Lewinsky,0.035384716258180016,0.0,1
Osama bin Laden,0.035384716258180016,0.0,1
Antonin Scalia,0.001454240741372015,0.0,1
Scalia,0.019336211543855193,0.019171304885590598,4
Robby Mook,0.035384716258180016,0.0,1
Kennedy,0.035384716258180016,0.0,1
Gary Johnson,0.035384716258180016,0.0,1
Tim Kaine,0.035384716258180016,0.0,1
Kaine,0.06257379576941059,0.0,2
Richard Nixon,0.035384716258180016,0.0,1
Netanyahu,0.019217947310865797,0.0,3
Chelsea,0.035384716258180016,0.0,1
Stein,0.005120060001483564,0.0,1
McMullin,0.06257379576941059,0.0,2
McCain,0.02940019998863001,0.0,3
John Podesta,0.035384716258180016,0.0,1
Latinos,0.035384716258180016,0.0,1
Michelle Obama,0.035384716258180016,0.0,1
Donald,0.06257379576941059,0.0,2
Mike Pence,0.06257379576941059,0.0,2
Khan,0.02718907951123058,0.0,1
Al Gore,0.035384716258180016,0.0,1
Gray,6.265148607493202e-17,0.0,2
Vladimir Putin,0.035384716258180016,0.0,1
Putin,0.04861814729949575,0.0,4
Christopher Stevens,0.035384716258180016,0.0,1
anti-Trump,0.06257379576941059,0.0,2
Sidney Blumenthal,0.035384716258180016,0.0,1
Bill Clinton’s,0.035384716258180016,0.0,1
Martin O'Malley,0.035384716258180016,0.0,1
Jim Webb,0.035384716258180016,0.0,1
Francis,6.265148607493202e-17,0.0,2
Davis,6.265148607493202e-17,0.0,2
Common Core,0.019078504260268817,0.0,1
Manafort,0.02718907951123058,0.0,1
Comey,0.035384716258180016,0.0,1
Sullivan,0.035384716258180016,0.0,1
Abedin,0.05439163358321488,0.0,5
Reid,0.035384716258180016,0.0,1
Powell,0.035384716258180016,0.0,1
Marco,0.03642677965292371,0.0,2
Gowdy,0.035384716258180016,0.0,1
Blumenthal,0.035384716258180016,0.0,1
Williams,0.035384716258180016,0.0,1
Roberts,6.265148607493202e-17,0.0,2
Gore,0.035384716258180016,0.0,1
Murphy,0.019078504260268817,0.0,1
Tai,6.265148607493202e-17,0.0,2
Jordan,0.035384716258180016,0.0,1
Tipper,0.035384716258180016,0.0,1
Rodham,0.035384716258180016,0.0,1
Hillary Rodham,0.035384716258180016,0.0,1
Huma,0.05439163358321488,0.0,5
Bataclan,0.035384716258180016,0.0,1
